time (s),servo data (rad),SEA data (rad)
0,0,0
0.105281353,-0.011379547,0
0.106277704,-0.011379547,0
0.108270884,-0.011379547,0
0.180159092,-0.045518187,0.030687108
0.324672937,-0.290178441,0.035290174
0.397574902,-0.335696628,0.018412265
0.54324913,-0.751050084,0.085923902
0.747845888,-0.819327364,0.078252125
0.813869715,-0.819327364,0.081320835
0.945931196,-0.819327364,0.081320835
1.229945421,-0.529148923,0
1.375436544,-0.455181869,0.007671777
1.450345039,-0.398284135,0
1.519126892,-0.318627308,0
1.59506917,-0.250350028,-0.016877909
1.74054122,-0.125175014,-0.001534355
1.953789711,0.113795467,-0.004603066
2.027160645,0.176382974,-0.001534355
2.104181767,0.256039801,0
2.173074961,0.335696628,0
2.251820087,0.415353455,-0.009206132
2.545088768,0.739670537,-0.035290174
2.677626848,0.830706911,-0.044496306
2.805147409,0.836396684,-0.038358885
3.023950577,0.836396684,-0.030687108
3.099989176,0.842086458,-0.033755819
3.168977261,0.842086458,-0.033755819
3.385178089,0.836396684,-0.047565017
3.602828264,0.59173643,-0.016877909
3.675667763,0.512079603,-0.004603066
3.748340368,0.472251189,0
3.891910076,0.352765948,0.018412265
4.313600779,-0.01706932,0.050633728
4.3801682,-0.079656827,0.046030662
4.448332548,-0.136554561,0.023015331
4.520859718,-0.216211388,0.016877909
4.661473513,-0.398284135,0.021480975
4.952984095,-0.716911444,0.065977282
